model,role,task,run,found,total,false_positives,latency_s,input_tokens,output_tokens,cost,pi_status,thinking,minor_found,minor_total
ollama-cloud/kimi-k2.6,spec,spec-defects,3,4,4,0,26,32228,2179,0.039333,0,high,0,0
ollama-cloud/kimi-k2.6,spec,spec-clean,1,0,0,0,18,24131,1361,0.028368,0,high,0,0
ollama-cloud/kimi-k2.6,spec,spec-clean,2,0,0,0,41,34867,4202,0.049932,0,high,0,0
ollama-cloud/kimi-k2.6,spec,spec-clean,3,0,0,0,23,15902,2143,0.023679,0,high,0,0
ollama-cloud/kimi-k2.7-code,taste,taste-defects,1,4,4,0,23,16863,2091,0.024384,0,high,0,0
ollama-cloud/kimi-k2.7-code,taste,taste-defects,2,4,4,0,32,34496,2463,0.042623,0,high,0,0
ollama-cloud/kimi-k2.7-code,taste,taste-defects,3,3,4,0,23,21622,2195,0.029321,0,high,0,0
ollama-cloud/kimi-k2.7-code,taste,taste-clean,1,0,0,1,33,23029,3118,0.034350,0,high,0,0
ollama-cloud/kimi-k2.7-code,taste,taste-clean,2,0,0,0,43,25950,3265,0.037712,0,high,0,0
ollama-cloud/kimi-k2.7-code,taste,taste-clean,3,0,0,0,25,15575,1829,0.022112,0,high,0,0
ollama-cloud/kimi-k2.7-code,spec,spec-defects,1,4,4,0,24,11298,1546,0.016917,0,high,0,0
ollama-cloud/kimi-k2.7-code,spec,spec-defects,2,4,4,0,31,25460,2283,0.033319,0,high,0,0
ollama-cloud/kimi-k2.7-code,spec,spec-defects,3,4,4,0,30,29527,2066,0.036315,0,high,0,0
ollama-cloud/kimi-k2.7-code,spec,spec-clean,1,0,0,0,33,20448,2509,0.029462,0,high,0,0
ollama-cloud/kimi-k2.7-code,spec,spec-clean,2,0,0,0,28,25128,1800,0.031072,0,high,0,0
ollama-cloud/kimi-k2.7-code,spec,spec-clean,3,0,0,1,30,20465,2029,0.027558,0,high,0,0
ollama-cloud/glm-5.2,taste,taste-defects,1,4,4,0,13,16944,1899,0.032077,0,high,0,0
ollama-cloud/glm-5.2,taste,taste-defects,2,4,4,0,12,17012,1211,0.029145,0,high,0,0
ollama-cloud/glm-5.2,taste,taste-defects,3,4,4,0,12,12425,1759,0.025135,0,high,0,0
ollama-cloud/glm-5.2,taste,taste-clean,1,0,0,0,12,20138,1233,0.033618,0,high,0,0
ollama-cloud/glm-5.2,taste,taste-clean,2,0,0,0,9,15654,1135,0.026910,0,high,0,0
